商品コード,法人名,商品名,型番,全国平均貸与価格（円）,貸与価格の上限（円）
00791-000007,株式会社トーカイ,T2　自走式,T2-22,4415,5160
00791-000008,株式会社トーカイ,T2　介助式,T2-16,4553,5280
00815-000004,株式会社イトーキ,らくっと・1,RC01-SB,11076,12450
00821-000030,株式会社ジャスブランチ,Pマット2W,PZC-2W-9193,3000,3000
00837-000002,株式会社タマツ,リハビリバー２,,3215,3440
00837-000003,株式会社タマツ,ステップバー床01,,3292,3580
00837-000006,株式会社タマツ,ステップバー框01,,3970,4560
00837-000007,株式会社タマツ,ステップバー床02,,3415,3770
00837-000008,株式会社タマツ,ステップバー框00,,3773,4190
00837-000009,株式会社タマツ,ステップバー框01　すき間防止スペーサー付,,3734,4020
00837-000010,株式会社タマツ,ステップバー框02 （踏み台なし）,,4053,4520
00837-000011,株式会社タマツ,つながる手すり「すりてあ」片手すり踏み台なし,ST-1,3318,3520
00837-000012,株式会社タマツ,つながる手すり「すりてあ」両手すり踏み台なし,ST-2,4452,4730
00837-000013,株式会社タマツ,つながる手すり「すりてあ」片手すり踏み台付,STF-1,3950,4540
00837-000014,株式会社タマツ,つながる手すり「すりてあ」両手すり踏み台付,STF-2,4786,5250
00837-000015,株式会社タマツ,ステップバー框03　踏み台付,框03,4097,4540
00837-000016,株式会社タマツ,すりてあCuteZ　片手すり,STC-1,3140,3340
00837-000017,株式会社タマツ,すりてあCuteZ　両手すり,STC-2,4405,4860
00837-000019,株式会社タマツ,すりてあsix　片手すりS（踏み台なし）,ST6-S,3768,4150
00839-000001,株式会社パシフィックウエーブ,ジェルトロン　マットレス　エクシード,,6066,6590
00839-000003,株式会社パシフィックウエーブ,ジェルトロン クッション ダブルソフト　S,GTC2SS,2201,2570
00839-000004,株式会社パシフィックウエーブ,ジェルトロン クッション　シングル　S,GTC1S,1643,2080
00839-000005,株式会社パシフィックウエーブ,ジェルトロン　クッション ダブルハード,,2502,3010
00839-000009,株式会社パシフィックウエーブ,ジェルビー　ジェルトロンクッション　Ｗ（ハード＆ムマック）,,1596,2090
00839-000010,株式会社パシフィックウエーブ,ジェルトロン　クッション　3Ｄ（スリーディ）フォーム　S,GTC1S3D,1701,2010
00839-000011,株式会社パシフィックウエーブ,ジェルトロン　マットレス2（ツー）レイヤー,,8947,9820
00839-000020,株式会社パシフィックウエーブ,ジェルトロンクッション　NEO（ネオ）,GTC-NEO,1978,2140
00853-000001,株式会社フコク,エアロイーグル マットレス,FAE-1838,1523,2000
00853-000002,株式会社フコク,エアロイーグル マットレス,FAE-1908,2081,2580
00853-000003,株式会社フコク,FK マットレス,FK マットレス-83,1177,1390
00853-000004,株式会社フコク,FK マットレス,FK マットレス-90,1127,1320
00853-000005,株式会社フコク,エポックマットレス83レギュラー,WB-83,1647,1920
00853-000006,株式会社フコク,エポックマットレス90レギュラー,WB-90,2100,2810
00853-000007,株式会社フコク,エポックマットレス83ショート,WB-83S,1563,1690
00853-000008,株式会社フコク,エポックマットレス90ショート,WB-90S,1645,1970
00853-000012,株式会社フコク,FK マットレス,FK マットレス-90 ショート,1065,1190
00853-000020,株式会社フコク,YCOマットレス91ショート,FYCOM91S,2017,2070
00853-Z00005,株式会社フコク,ＲＪＦマットレス,ＲＪＦ－９０－Ｆ,1913,2200
00853-Z00019,株式会社フコク,エアロイーグル　マットレス,ＡＥ９１Ｈ,1983,2110
00853-Z00021,株式会社フコク,エアロイーグル　マットレス,ＡＥ９１ＳＨ,2000,2000
00853-Z00023,株式会社フコク,ＹＣＯマットレス,ＦＹＣＯＭ９１,2016,2080
00855-000002,株式会社シンエンス,スリムフレームウォーカー 固定型,WFS-4968,2012,2210
00855-000003,株式会社シンエンス,ミニフレームウォーカー 固定型,WFM-4262,2057,2330
00855-000004,株式会社シンエンス,スリム立ち上がりフレームウォーカー　固定型,WFS-4968R,2188,2550
00855-000005,株式会社シンエンス,クワッドケイン（スモールベース）,CQ-1001,1010,1200
00855-000008,株式会社シンエンス,ﾐﾆﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(5ｲﾝﾁ回転ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ付3ｲﾝﾁｷｬｽﾀｰ),WFM-4262SW5GW3,2152,2450
00855-000009,株式会社シンエンス,ﾐﾆﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(5ｲﾝﾁ回転ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ),WFM-4262SW5G3,2126,2350
00855-000010,株式会社シンエンス,ﾐﾆﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(3ｲﾝﾁ回転ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ付3ｲﾝﾁｷｬｽﾀｰ),WFM-4262SW3GW,2110,2420
00855-000011,株式会社シンエンス,ﾐﾆﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(3ｲﾝﾁ回転ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ),WFM-4262SW3G,1901,2240
00855-000012,株式会社シンエンス,ﾐﾆﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(3ｲﾝﾁ固定ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ付3ｲﾝﾁｷｬｽﾀｰ),WFM-4262WE3GW,2002,2210
00855-000013,株式会社シンエンス,ﾐﾆﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(3ｲﾝﾁ固定ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ),WFM-4262WE3G,2214,2550
00855-000015,株式会社シンエンス,電動カート用　大型フロントバスケット,,1063,1170
00855-000019,株式会社シンエンス,カーボンウォーカー（M）,WC-2010M,2476,2970
00855-000021,株式会社シンエンス,電動カート用　多点杖ホルダー,HCM-001,1814,2170
00855-000025,株式会社シンエンス,スリム立ち上がりフレームウォーカー3インチ回転キャスター+グライディングブレーキ付3インチキャスター,WFS-4968RSW3GW,2808,3180
00855-000030,株式会社シンエンス,スリムフレームウォーカー固定型ハイモデル,WFS-4968HUL310,2026,2180
00855-000033,株式会社シンエンス,カーボンウォーカーⅡ,WC-3010M,2479,2620
00855-000048,株式会社シンエンス,ｽﾘﾑﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(5ｲﾝﾁ回転ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ付3ｲﾝﾁｷｬｽﾀｰ),WFS-4968SW5GW3,2135,2380
00855-000049,株式会社シンエンス,ｽﾘﾑﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(5ｲﾝﾁ回転ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ),WFS-4968SW5G3,2042,2150
00855-000050,株式会社シンエンス,ｽﾘﾑﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(3ｲﾝﾁ回転ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ付3ｲﾝﾁｷｬｽﾀｰ),WFS-4968SW3GW,2026,2210
00855-000052,株式会社シンエンス,ｽﾘﾑﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(3ｲﾝﾁ固定ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ付3ｲﾝﾁｷｬｽﾀｰ),WFS-4968WE3GW,2003,2200
00855-000053,株式会社シンエンス,ｽﾘﾑﾌﾚｰﾑｳｫｰｶｰｷｬｽﾀｰﾓﾃﾞﾙ(3ｲﾝﾁ固定ｷｬｽﾀｰ+ｸﾞﾗｲﾃﾞｨﾝｸﾞﾌﾞﾚｰｷ),WFS-4968WE3G,2118,2380
00857-000005,ファンディーナ株式会社,ピタ・シートクッション　３５,PT-001,1235,1490
00857-000006,ファンディーナ株式会社,ピタ・シートクッション　５５,PT-002,1395,1800
00857-000007,ファンディーナ株式会社,ピタ・シートクッション　７０,PT-003,1831,2150
00857-000008,ファンディーナ株式会社,ピタ・マットレス　ケアタイプ,PTM83N,6085,6570
00857-000014,ファンディーナ株式会社,ピタ・シートクッション　ブレス,PTB65,1930,2190
00868-000005,オットーボック・ジャパン株式会社,クラウド,476C00=FFC,4570,4750
00868-000006,オットーボック・ジャパン株式会社,アドバンテージ,476C00=AC,3140,3140
00868-000014,オットーボック・ジャパン株式会社,M3　システムモジュラー車いす,480F53=31000,9676,10750
00868-000015,オットーボック・ジャパン株式会社,M4　システムモジュラー車いす,480F53=40000,9465,10440
00868-000017,オットーボック・ジャパン株式会社,エボライト,476C00=SK350,1163,1500
00868-000028,オットーボック・ジャパン株式会社,テラ　フレア,476C00=SK8,4555,4790
00875-000005,ケイ・ホスピア株式会社,オールアルミ四点杖,,983,1290
00875-000006,ケイ・ホスピア株式会社,四点杖 SSS,,966,1140
00875-000009,ケイ・ホスピア株式会社,オールニーズクラッチ,,1399,1670
00875-000011,ケイ・ホスピア株式会社,愛杖　スリム四点杖,,989,1100
00875-000013,ケイ・ホスピア株式会社,楽スマ　スリーベース,R-101/R-102/R-103,1046,1150
00885-000016,ゆうえる株式会社,スタンバーフロリング廊下型手すり,SBR-05,3217,3360
00887-000001,株式会社テツコーポレーション,歩行補助車ロレーター,,2670,3200
00887-000006,株式会社テツコーポレーション,アルミ製歩行器固定型 2段階開閉タイプ,,2190,2800
00887-000010,株式会社テツコーポレーション,アルミ製歩行器固定型 ホームタイプ,,2390,2860
00887-000013,株式会社テツコーポレーション,ステップウォーカー,,2120,2460
00887-000014,株式会社テツコーポレーション,バランスウォーカー,,1338,1610
00887-000015,株式会社テツコーポレーション,4点支持杖ラージベース(レギュラーサイズ／SSタイプ),,881,1100
00887-000016,株式会社テツコーポレーション,4点支持杖スモールベース,,847,1070
00887-000040,株式会社テツコーポレーション,4点支持杖 ｽﾓｰﾙﾍﾞｰｽ 軽量ﾀｲﾌﾟ（ｵｰﾙｱﾙﾐ製）,,886,1100
00887-000044,株式会社テツコーポレーション,歩行補助車　プロスマート,T-9006,3012,3050
00887-000050,株式会社テツコーポレーション,安心ウォーカー　ホームタイプ,T-5800,2592,3000
00887-000051,株式会社テツコーポレーション,4点支持杖 フィットグリップ（オールアルミ製）,T-2802/T-2803,1035,1150
00887-000053,株式会社テツコーポレーション,ロフストランドクラッチ（オープンカフ）Lサイズ,T-2963,1046,1190
00915-000001,日建片桐リース株式会社,深・層・睡（しん・そう・すい）,SSS83他,1982,2200
00915-000003,日建片桐リース株式会社,さくらウォーカー,RW-SW,3711,4120
00915-000007,日建片桐リース株式会社,あずきウォーカー,RW-AW,2996,3190
00917-000005,テンピュール・シーリー・ジャパン有限会社,テンピュールMED(Ｒ) 車椅子用クッション,127553,2718,3230
00919-000001,日本エスタ株式会社,ソリ付き折りたたみ歩行器 スライドウォーカー,,4073,4480
00919-000002,日本エスタ株式会社,ソリ付き折りたたみ歩行器 スライドウォーカーAnother（アナザー）,SW-A,4045,4560
00919-000003,日本エスタ株式会社,ソリ付き折りたたみ歩行器 SW-AnotherMini,SW-AMini,4027,4600
00925-000007,カルバオン株式会社,Ｎoppo（乗っ歩）,FBH250-1,3885,4250
00925-000018,カルバオン株式会社,neo NOPPO （ネオノッポ）,AAFA12-0-S,4014,4230
00947-000001,東レ株式会社,トレイジースライドシート,TES100,1131,1350
00980-000035,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,洋式トイレ用 手すり デラックス,VALSTYAND,3240,3830
00980-000177,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ベッド用グリップ,PN-S1040360,1837,2100
00980-000191,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,洋式トイレ用スライド手すり（ステンレス）,PN-L53001,3067,3420
00980-000203,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,自在手すり　ツインディ〈室内用〉,PN-L80101,2602,3010
00980-000204,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,自在手すり　ツインディ〈玄関用）　両手すり・踏み台付き,XPN-L80201,5507,6070
00980-000205,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,自在手すり　ツインディ〈玄関用〉　両手すり・踏み台なし,XPN-L80202,4672,5170
00980-000206,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,自在手すり　ツインディ〈玄関用〉　片手すり・踏み台付き,XPN-L80203,4346,4730
00980-000207,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,自在手すり　ツインディ〈玄関用〉　片手すり・踏み台なし,XPN-L80204,3704,3920
00980-000208,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,快眠マットレス　ステラフィット　レギュラーサイズ,PN-S120001,2460,2700
00980-000209,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,快眠マットレス　ステラフィット　ショートサイズ,PN-S120002,2497,2690
00980-000210,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,快眠マットレス　ステラフィット　ナローサイズ,PN-S120003,2481,2690
00980-000211,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,快眠マットレス　ステラフィット　ナローショートサイズ,PN-S120004,2492,2680
00980-000212,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,電動ケアベッド コンフォーネ（ショート/レギュラー、2モーション、91cm幅、樹脂ボード）,XPN-S105200B,8063,8800
00980-000213,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,電動ケアベッド コンフォーネ（ショート/レギュラー、2モーション、91cm幅、木調ボード）,XPN-S105200M,8421,9040
00980-000214,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,電動ケアベッド コンフォーネ（ショート/レギュラー、2モーション、83cm幅、樹脂ボード）,XPN-S105210B,8191,8760
00980-000216,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,電動ケアベッド コンフォーネ（ショート/レギュラー、3モーション、91cm幅、樹脂ボード）,XPN-S105300B,9812,10860
00980-000217,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,電動ケアベッド コンフォーネ（ショート/レギュラー、3モーション、91cm幅、木調ボード）,XPN-S105300M,10303,11180
00980-000218,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,電動ケアベッド コンフォーネ（ショート/レギュラー、3モーション、83cm幅、樹脂ボード）,XPN-S105310B,9991,10610
00980-000220,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,コンフォーネ　サイドレールL（2本1組）,PN-S105031,374,500
00980-000221,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,コンフォーネ　サイドレールS（2本1組）,PN-S105032,309,410
00980-000222,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,コンフォーネ　サイドレールLH（2本1組）,PN-S105033,435,540
00980-000224,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,コンフォーネ　ベッド用グリップ,PN-S105035,1974,2160
00980-000225,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,コンフォーネ　キャスター（4個セット）,PN-S105036,1003,1100
00980-000228,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,コンフォーネ　サイドテーブル,PN-S105039,2944,3330
00980-000254,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,床ずれ防止用具マットレス　ルミナフィット　レギュラーサイズ,PN-S120011,5596,5880
00980-000258,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,アームサポート手すり　メンディ,PN-L80301,3035,3330
00980-000315,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,スタンディ,PN-L80401,3241,3480
00980-000318,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ライクルＲ　標準タイプ　自走用　40幅,PN-S401100,5054,5240
00980-000319,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ライクルＲ　標準タイプ　自走用　42幅,PN-S401120,5073,5120
00980-000320,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ライクルＲ　多機能タイプ　自走用　40幅,PN-S401200,6073,6300
00980-000321,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ライクルＲ　多機能タイプ　自走用　42幅,PN-S401220,6074,6210
00980-000322,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ライクルＲ　標準タイプ　介助用　40幅,PN-S401101,5049,5170
00980-000323,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ライクルＲ　標準タイプ　介助用　42幅,PN-S401121,5064,5140
00980-000324,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ライクルＲ　多機能タイプ　介助用　40幅,PN-S401201,6070,6200
00980-000325,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ライクルＲ　多機能タイプ　介助用　42幅,PN-S401221,6076,6210
00980-000326,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,すっきり手すり クリンディ,PN-L80501,2487,2820
00980-000327,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,ベッド用アーム,PN-L80511,526,610
00980-000328,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,すっきり手すり クリンディ　ベッド用アーム付,PN-L80501(PN-L80511),2918,3370
00980-000329,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,体圧分散型マットレス　セレナフィット　レギュラーサイズ,PN-S120021,1818,1910
00980-000330,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,体圧分散型マットレス　セレナフィット　ショートサイズ,PN-S120022,1837,1920
00980-000334,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　標準タイプ片手すり,XPN-L80601,9338,10240
00980-000335,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　標準タイプ両手すり,XPN-L80602,12072,13520
00980-000336,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ステップタイプ片手すり,XPN-L80603,9412,10300
00980-000337,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ステップタイプ両手すり,XPN-L80604,12475,13860
00980-000338,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ロング2050タイプ片手すり,XPN-L80605,13187,14550
00980-000340,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ロング2400タイプ片手すり,XPN-L80607,13464,14800
00980-000342,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ロング3460タイプ片手すり,XPN-L80609,16124,18240
00980-000345,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　標準伸縮タイプ片手すり,XPN-L80611,9437,10400
00980-000346,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　標準伸縮タイプ両手すり,XPN-L80612,11748,14280
00980-000347,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ステップ伸縮タイプ片手すり,XPN-L80613,9521,10410
00980-000348,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ステップ伸縮タイプ両手すり,XPN-L80614,12597,13910
00980-000349,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ロング2050伸縮タイプ片手すり,XPN-L80615,13450,14760
00980-000351,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ロング2400伸縮タイプ片手すり,XPN-L80617,13635,14860
00980-000353,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ロング3460伸縮タイプ片手すり,XPN-L80619,16855,18620
00980-000355,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ステップ980タイプ片手すり,XPN-L80621,9481,10300
00980-000357,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ロング1700タイプ片手すり,XPN-L80623,12804,14160
00980-000359,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ステップ980伸縮タイプ片手すり,XPN-L80625,9562,10450
00980-000360,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ステップ980伸縮タイプ両手すり,XPN-L80626,12441,14110
00980-000361,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ　ロング1700伸縮タイプ片手すり,XPN-L80627,13385,14520
00980-000363,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ〈屋内用〉,XPN-L80801,3451,3970
00980-000364,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,自在手すり　ツインディ〈水廻り用〉,PN-L80701,5706,6290
00980-000365,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,自在手すり　ツインディ〈水廻り用〉　プロテクター付き,PN-L80701　（PN-L80711）,5862,6790
00980-000369,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞ミドルベース,PN-L80804,1329,1770
00980-000373,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞1530タイプ,XPN-L80802,6299,7210
00980-000374,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞930タイプ,XPN-L80803,3942,4450
00980-000375,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞930タイプ＋930,XPN-L80804,4876,5500
00980-000376,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞930タイプ＋620,XPN-L80805,4800,5410
00980-000377,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞手すり210,XPN-L80806,2193,2570
00980-000378,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞手すり210＋930,XPN-L80808,3216,3720
00980-000379,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞手すり210＋620,XPN-L80809,3157,3600
00980-000380,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞回転手すり330,XPN-L80807,2625,3290
00980-000381,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞回転手すり330＋930,XPN-L80810,3704,4410
00980-000382,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,歩行サポート手すり　スムーディ＜屋内用＞回転手すり330＋620,XPN-L80811,3772,4480
00980-000383,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,RS-X　レギュラーサイズ　2モーター,XPN-S107020B,6612,7230
00980-000388,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,サイドレールM（2本1組）,PN-S107032,483,550
00980-000432,パナソニックエイジフリー株式会社　ケアサプライ事業本部　ケアプロダクツ事業部,スムーディ＜トイレ用＞片手すり,XPN-L80833,2717,3030
00992-000001,株式会社エヌ・ティ・シー,エコフィットマットレス,NT-100,1400,1810
01000-000008,コイズミファニテック株式会社,サイドレール,KJR-J1R,373,440
01009-000001,株式会社ウェルパートナーズ,歩行補助車【ラビット】歩行専用車,WA-1,3841,4210
01009-000002,株式会社ウェルパートナーズ,歩行補助車（ラビット）　屋内歩行車,WA-2,3977,4340
01009-000003,株式会社ウェルパートナーズ,歩行補助車（ラビット）　屋外歩行車,WA-3,4148,4460
01009-000004,株式会社ウェルパートナーズ,歩行補助車(ラビット),WA-5,3952,4200
01009-000011,株式会社ウェルパートナーズ,歩行補助車【ラビット】,WA-0,3927,4270
01009-000025,株式会社ウェルパートナーズ,歩行車　friend,WF-1,4055,4330
01009-000027,株式会社ウェルパートナーズ,歩行車　ｆriend plus,WFP-1,4898,5610
01009-000028,株式会社ウェルパートナーズ,歩行車　friend Ⅱ,WF-2,4174,4480
01009-000030,株式会社ウェルパートナーズ,サイドサポートクッション(S),SS-1,1340,1520
01013-000004,株式会社シー・シー・ティー商事,3モーターモジュールベッド,CCT74162,6467,7500
01013-000005,株式会社シー・シー・ティー商事,2モーターモジュールベッド,CCT74163,5855,6150
01013-000006,株式会社シー・シー・ティー商事,マットレス,CCT74167,1255,1700
01013-000007,株式会社シー・シー・ティー商事,安定型サイドレール（1本）,CCT74168,359,480
01013-000008,株式会社シー・シー・ティー商事,ショートサイドレール（1本）,CCT 74216,443,550
01038-000002,プライムケア協同組合,ケアマットレス モア/90cm幅,PCM90,1797,2130
01038-000009,プライムケア協同組合,プライムフィットマットレス,PC-MATF91R,1725,2080
01040-000002,トーソー産業資材株式会社,４ポイントステッキ,TS40 ｽﾃﾝｶﾗｰ、TS41 ﾛｰｽﾞｶﾗｰ,1156,1360
01040-000004,トーソー産業資材株式会社,ニュー4ポイント,ステン：TS401、ローズ：TS402、ブラウン：TS403,1169,1370
01044-000018,ミライズ株式会社,スタンバー床立上り型手すり,SBS-05,3783,4300
01044-000019,ミライズ株式会社,スタンバーフローリング廊下型手すり,SBR-05,2985,3470
01044-000020,ミライズ株式会社,スタンバーベッド四角型手すり,SBB-05,3728,4340
01044-000049,ミライズ株式会社,スタンバー平行型手すり,SBR-05N,4160,4160
01044-000050,ミライズ株式会社,スタンバー四角型手すり,SBB-05N,4580,4580
01044-000061,ミライズ株式会社,スタンバー・カンタ,SBZ-18,1308,1470
01072-000024,ユニトレンド株式会社,可動式4点杖　スモールベース・ストレートタイプ,CX-07003,1015,1110
01087-000018,パシフィックサプライ株式会社,リアライズ　シェイプ,,9928,10720
